indice,nome_completo,descricao,aplicacao,colecao,arquivo
AFRI2100,Aerosol Free Vegetation Index (2100nm),"Índice de vegetação robusto à aerossóis, usando banda SWIR 2100nm",Vegetação,Landsat,AFRI2100_landsat.js
AFRI2100,Aerosol Free Vegetation Index (2100nm),"Índice de vegetação robusto à aerossóis, usando banda SWIR 2100nm",Vegetação,Sentinel-1,AFRI2100_sentinel-1.js
AFRI2100,Aerosol Free Vegetation Index (2100nm),"Índice de vegetação robusto à aerossóis, usando banda SWIR 2100nm",Vegetação,Sentinel-2,AFRI2100_sentinel-2.js
ANDWI,Automated Normalized Difference Water Index,Detecção automatizada de corpos d'água,Água,Landsat,ANDWI_landsat.js
ANDWI,Automated Normalized Difference Water Index,Detecção automatizada de corpos d'água,Água,Sentinel-1,ANDWI_sentinel-1.js
ARI2,Anthocyanin Reflectance Index 2,Estimativa de conteúdo de antocianina foliar usando banda red-edge,Vegetação / Saúde vegetal,Landsat,ARI2_landsat.js
ARI2,Anthocyanin Reflectance Index 2,Estimativa de conteúdo de antocianina foliar usando banda red-edge,Vegetação / Saúde vegetal,Sentinel-1,ARI2_sentinel-1.js
ARI2,Anthocyanin Reflectance Index 2,Estimativa de conteúdo de antocianina foliar usando banda red-edge,Vegetação / Saúde vegetal,Sentinel-2,ARI2_sentinel-2.js
ARVI,Atmospherically Resistant Vegetation Index,NDVI corrigido para efeitos atmosféricos usando banda azul,Vegetação,Landsat,ARVI_landsat.js
ARVI,Atmospherically Resistant Vegetation Index,NDVI corrigido para efeitos atmosféricos usando banda azul,Vegetação,Sentinel-1,ARVI_sentinel-1.js
AVI,Advanced Vegetation Index,Índice de vegetação avançado sensível a dossel denso,Vegetação,Landsat,AVI_landsat.js
AVI,Advanced Vegetation Index,Índice de vegetação avançado sensível a dossel denso,Vegetação,Sentinel-1,AVI_sentinel-1.js
AVI,Advanced Vegetation Index,Índice de vegetação avançado sensível a dossel denso,Vegetação,Sentinel-2,AVI_sentinel-2.js
AWEInsh,Automated Water Extraction Index (no shadow),Extração de água sem influência de sombras,Água,Sentinel-1,AWEInsh_sentinel-1.js
BAI,Burn Area Index,Detecção de áreas queimadas pelo realce de carvão pós-fogo,Fogo / Queimadas,Landsat,BAI_landsat.js
BAI,Burn Area Index,Detecção de áreas queimadas pelo realce de carvão pós-fogo,Fogo / Queimadas,Sentinel-1,BAI_sentinel-1.js
BAI,Burn Area Index,Detecção de áreas queimadas pelo realce de carvão pós-fogo,Fogo / Queimadas,Sentinel-2,BAI_sentinel-2.js
BAIM,Burned Area Index for MODIS,Adaptação do BAI para sensores MODIS/similares,Fogo / Queimadas,Landsat,BAIM_landsat.js
BAIM,Burned Area Index for MODIS,Adaptação do BAI para sensores MODIS/similares,Fogo / Queimadas,Sentinel-2,BAIM_sentinel-2.js
BCC,Blue Chromatic Coordinate,"Proporção da banda azul na soma RGB, indicador de solo e vegetação",Solo / Vegetação,Landsat,BCC_landsat.js
BCC,Blue Chromatic Coordinate,"Proporção da banda azul na soma RGB, indicador de solo e vegetação",Solo / Vegetação,Sentinel-1,BCC_sentinel-1.js
BCC,Blue Chromatic Coordinate,"Proporção da banda azul na soma RGB, indicador de solo e vegetação",Solo / Vegetação,Sentinel-2,BCC_sentinel-2.js
BI,Bare Soil Index,Índice de exposição de solo nu usando bandas SWIR e vermelho,Solo,Landsat,BI_landsat.js
BI,Bare Soil Index,Índice de exposição de solo nu usando bandas SWIR e vermelho,Solo,Sentinel-2,BI_sentinel-2.js
BIXS,Built-up Index using SWIR,Detecta áreas construídas usando banda SWIR,Área urbana,Landsat,BIXS_landsat.js
BIXS,Built-up Index using SWIR,Detecta áreas construídas usando banda SWIR,Área urbana,Sentinel-2,BIXS_sentinel-2.js
BLFEI,Built-up Land Features Extraction Index,Extração de feições urbanas construídas,Área urbana,Sentinel-2,BLFEI_sentinel-2.js
bNIRv,Background-adjusted Near-Infrared reflectance of vegetation,NIRv ajustado para influência de fundo do solo,Vegetação / Fenologia,Landsat,bNIRv_landsat.js
bNIRv,Background-adjusted Near-Infrared reflectance of vegetation,NIRv ajustado para influência de fundo do solo,Vegetação / Fenologia,Sentinel-1,bNIRv_sentinel-1.js
bNIRv,Background-adjusted Near-Infrared reflectance of vegetation,NIRv ajustado para influência de fundo do solo,Vegetação / Fenologia,Sentinel-2,bNIRv_sentinel-2.js
BRBA,Band Ratio for Built-up Area,Razão de bandas para identificação de área construída,Área urbana,Landsat,BRBA_landsat.js
BRBA,Band Ratio for Built-up Area,Razão de bandas para identificação de área construída,Área urbana,Sentinel-2,BRBA_sentinel-2.js
BWDRVI,Blue Wide Dynamic Range Vegetation Index,Versão de ampla faixa dinâmica do WDRVI usando banda azul,Vegetação,Sentinel-2,BWDRVI_sentinel-2.js
CCI,Canopy Chlorophyll Content Index,Estimativa do conteúdo de clorofila do dossel,Vegetação / Bioquímica,Sentinel-1,CCI_sentinel-1.js
CCI,Canopy Chlorophyll Content Index,Estimativa do conteúdo de clorofila do dossel,Vegetação / Bioquímica,Sentinel-2,CCI_sentinel-2.js
CI1SWIR,Char Index 1 SWIR,Detecção de carvão/queimadas com banda SWIR 1,Fogo / Queimadas,Sentinel-1,CI1SWIR_sentinel-1.js
CI1SWIR,Char Index 1 SWIR,Detecção de carvão/queimadas com banda SWIR 1,Fogo / Queimadas,Sentinel-2,CI1SWIR_sentinel-2.js
CI2SWIR,Char Index 2 SWIR,Detecção de carvão/queimadas com banda SWIR 2,Fogo / Queimadas,Landsat,CI2SWIR_landsat.js
CI2SWIR,Char Index 2 SWIR,Detecção de carvão/queimadas com banda SWIR 2,Fogo / Queimadas,Sentinel-1,CI2SWIR_sentinel-1.js
CI2SWIR,Char Index 2 SWIR,Detecção de carvão/queimadas com banda SWIR 2,Fogo / Queimadas,Sentinel-2,CI2SWIR_sentinel-2.js
CI2woSWIR,Char Index 2 without SWIR,Detecção de queimadas sem uso de banda SWIR,Fogo / Queimadas,Landsat,CI2woSWIR_landsat.js
CI2woSWIR,Char Index 2 without SWIR,Detecção de queimadas sem uso de banda SWIR,Fogo / Queimadas,Sentinel-1,CI2woSWIR_sentinel-1.js
CI2woSWIR,Char Index 2 without SWIR,Detecção de queimadas sem uso de banda SWIR,Fogo / Queimadas,Sentinel-2,CI2woSWIR_sentinel-2.js
CIRE,Chlorophyll Index Red-Edge,Estimativa de clorofila foliar usando banda red-edge,Vegetação / Bioquímica,Landsat,CIRE_landsat.js
CIRE,Chlorophyll Index Red-Edge,Estimativa de clorofila foliar usando banda red-edge,Vegetação / Bioquímica,Sentinel-1,CIRE_sentinel-1.js
CIRE,Chlorophyll Index Red-Edge,Estimativa de clorofila foliar usando banda red-edge,Vegetação / Bioquímica,Sentinel-2,CIRE_sentinel-2.js
CLOSDI,CLOud Shadow Detection Index,Detecção de sombras de nuvens em imagens orbitais,Nuvens / Qualidade,Landsat,CLOSDI_landsat.js
CLOSDI,CLOud Shadow Detection Index,Detecção de sombras de nuvens em imagens orbitais,Nuvens / Qualidade,Sentinel-1,CLOSDI_sentinel-1.js
CLOSDI,CLOud Shadow Detection Index,Detecção de sombras de nuvens em imagens orbitais,Nuvens / Qualidade,Sentinel-2,CLOSDI_sentinel-2.js
CRI700,Carotenoid Reflectance Index 700nm,Estimativa de carotenoides foliares na faixa de 700nm,Vegetação / Bioquímica,Landsat,CRI700_landsat.js
CRI700,Carotenoid Reflectance Index 700nm,Estimativa de carotenoides foliares na faixa de 700nm,Vegetação / Bioquímica,Sentinel-1,CRI700_sentinel-1.js
CRSWIR,Continuum Removal SWIR,Remoção de contínuo em SWIR para análise de minerais/solo,Solo / Minerais,Landsat,CRSWIR_landsat.js
CRSWIR,Continuum Removal SWIR,Remoção de contínuo em SWIR para análise de minerais/solo,Solo / Minerais,Sentinel-1,CRSWIR_sentinel-1.js
CSISWIR,Combined Spectral Index SWIR,Índice espectral combinado usando SWIR,Solo / Vegetação,Landsat,CSISWIR_landsat.js
CSISWIR,Combined Spectral Index SWIR,Índice espectral combinado usando SWIR,Solo / Vegetação,Sentinel-1,CSISWIR_sentinel-1.js
CSISWIR,Combined Spectral Index SWIR,Índice espectral combinado usando SWIR,Solo / Vegetação,Sentinel-2,CSISWIR_sentinel-2.js
CSIT,Combined Spectral Index Thermal,Índice espectral combinado com banda térmica,Solo / Temperatura,Landsat,CSIT_landsat.js
CSIT,Combined Spectral Index Thermal,Índice espectral combinado com banda térmica,Solo / Temperatura,Sentinel-1,CSIT_sentinel-1.js
CSIT,Combined Spectral Index Thermal,Índice espectral combinado com banda térmica,Solo / Temperatura,Sentinel-2,CSIT_sentinel-2.js
CVI,Chlorophyll Vegetation Index,Estimativa de clorofila na vegetação,Vegetação / Bioquímica,Landsat,CVI_landsat.js
CVI,Chlorophyll Vegetation Index,Estimativa de clorofila na vegetação,Vegetação / Bioquímica,Sentinel-1,CVI_sentinel-1.js
CVI,Chlorophyll Vegetation Index,Estimativa de clorofila na vegetação,Vegetação / Bioquímica,Sentinel-2,CVI_sentinel-2.js
DBI,Dry Built-up Index,Discriminação de áreas construídas em regiões áridas,Área urbana / Solo,Landsat,DBI_landsat.js
DBI,Dry Built-up Index,Discriminação de áreas construídas em regiões áridas,Área urbana / Solo,Sentinel-2,DBI_sentinel-2.js
DPDD,Dual Polarization Difference Descriptor,Descritor de diferença entre polarizações (SAR),SAR / Estrutura vegetal,Landsat,DPDD_landsat.js
DPDD,Dual Polarization Difference Descriptor,Descritor de diferença entre polarizações (SAR),SAR / Estrutura vegetal,Sentinel-1,DPDD_sentinel-1.js
DPDD,Dual Polarization Difference Descriptor,Descritor de diferença entre polarizações (SAR),SAR / Estrutura vegetal,Sentinel-2,DPDD_sentinel-2.js
DpRVIHH,Dual-pol Radar Vegetation Index HH,Índice de vegetação por radar de dupla polarização HH,SAR / Vegetação,Landsat,DpRVIHH_landsat.js
DpRVIHH,Dual-pol Radar Vegetation Index HH,Índice de vegetação por radar de dupla polarização HH,SAR / Vegetação,Sentinel-1,DpRVIHH_sentinel-1.js
DpRVIHH,Dual-pol Radar Vegetation Index HH,Índice de vegetação por radar de dupla polarização HH,SAR / Vegetação,Sentinel-2,DpRVIHH_sentinel-2.js
DpRVIVV,Dual-pol Radar Vegetation Index VV,Índice de vegetação por radar de dupla polarização VV,SAR / Vegetação,Sentinel-1,DpRVIVV_sentinel-1.js
DSI,Drought Stress Index,Índice de estresse hídrico por seca,Vegetação / Estresse,Sentinel-1,DSI_sentinel-1.js
DSI,Drought Stress Index,Índice de estresse hídrico por seca,Vegetação / Estresse,Sentinel-2,DSI_sentinel-2.js
DSWI2,Disease-Water Stress Index 2,Detecta estresse hídrico e doenças em plantas (versão 2),Vegetação / Estresse,Sentinel-1,DSWI2_sentinel-1.js
DSWI2,Disease-Water Stress Index 2,Detecta estresse hídrico e doenças em plantas (versão 2),Vegetação / Estresse,Sentinel-2,DSWI2_sentinel-2.js
DSWI3,Disease-Water Stress Index 3,Detecta estresse hídrico e doenças em plantas (versão 3),Vegetação / Estresse,Sentinel-1,DSWI3_sentinel-1.js
DSWI3,Disease-Water Stress Index 3,Detecta estresse hídrico e doenças em plantas (versão 3),Vegetação / Estresse,Sentinel-2,DSWI3_sentinel-2.js
DSWI5,Disease-Water Stress Index 5,Detecta estresse hídrico e doenças em plantas (versão 5),Vegetação / Estresse,Sentinel-1,DSWI5_sentinel-1.js
DSWI5,Disease-Water Stress Index 5,Detecta estresse hídrico e doenças em plantas (versão 5),Vegetação / Estresse,Sentinel-2,DSWI5_sentinel-2.js
DVI,Difference Vegetation Index,Diferença simples entre NIR e vermelho para estimativa de vegetação,Vegetação,Sentinel-1,DVI_sentinel-1.js
EBI,Enhanced Built-up Index,Índice aprimorado de identificação de área construída,Área urbana,Landsat,EBI_landsat.js
EBI,Enhanced Built-up Index,Índice aprimorado de identificação de área construída,Área urbana,Sentinel-1,EBI_sentinel-1.js
EBI,Enhanced Built-up Index,Índice aprimorado de identificação de área construída,Área urbana,Sentinel-2,EBI_sentinel-2.js
EMBI,Enhanced Modified Bare Soil Index,Versão melhorada do índice de solo exposto,Solo,Sentinel-1,EMBI_sentinel-1.js
EMBI,Enhanced Modified Bare Soil Index,Versão melhorada do índice de solo exposto,Solo,Sentinel-2,EMBI_sentinel-2.js
EVI,Enhanced Vegetation Index,NDVI aprimorado com correção atmosférica e de solo (NASA MODIS),Vegetação,Landsat,EVI_landsat.js
EVI,Enhanced Vegetation Index,NDVI aprimorado com correção atmosférica e de solo (NASA MODIS),Vegetação,Sentinel-1,EVI_sentinel-1.js
EVI,Enhanced Vegetation Index,NDVI aprimorado com correção atmosférica e de solo (NASA MODIS),Vegetação,Sentinel-2,EVI_sentinel-2.js
EVI2,Enhanced Vegetation Index 2,Versão simplificada do EVI sem banda azul,Vegetação,Landsat,EVI2_landsat.js
EVI2,Enhanced Vegetation Index 2,Versão simplificada do EVI sem banda azul,Vegetação,Sentinel-1,EVI2_sentinel-1.js
EVI2,Enhanced Vegetation Index 2,Versão simplificada do EVI sem banda azul,Vegetação,Sentinel-2,EVI2_sentinel-2.js
ExG,Excess Green Index,Realça cobertura verde para discriminação de vegetação em RGB,Vegetação,Sentinel-1,ExG_sentinel-1.js
ExG,Excess Green Index,Realça cobertura verde para discriminação de vegetação em RGB,Vegetação,Sentinel-2,ExG_sentinel-2.js
ExGR,Excess Green minus Excess Red,Diferença entre excesso de verde e vermelho para vegetação,Vegetação,Sentinel-1,ExGR_sentinel-1.js
ExGR,Excess Green minus Excess Red,Diferença entre excesso de verde e vermelho para vegetação,Vegetação,Sentinel-2,ExGR_sentinel-2.js
FAI,Floating Algae Index,Detecção de algas flutuantes em superfícies aquáticas,Água / Qualidade hídrica,Sentinel-2,FAI_sentinel-2.js
FCVI,Fraction of green Canopy Vegetation Index,Fração da vegetação verde no dossel,Vegetação,Sentinel-2,FCVI_sentinel-2.js
FWEI,Floating Water and Erosion Index,Detecção de água flutuante e erosão,Água / Solo,Sentinel-1,FWEI_sentinel-1.js
FWEI,Floating Water and Erosion Index,Detecção de água flutuante e erosão,Água / Solo,Sentinel-2,FWEI_sentinel-2.js
GARI,Green Atmospherically Resistant Index,"ARVI baseado na banda verde, robusto a aerossóis",Vegetação,Sentinel-1,GARI_sentinel-1.js
GARI,Green Atmospherically Resistant Index,"ARVI baseado na banda verde, robusto a aerossóis",Vegetação,Sentinel-2,GARI_sentinel-2.js
GDVI,Green Difference Vegetation Index,Diferença usando banda verde para índice de vegetação,Vegetação,Sentinel-2,GDVI_sentinel-2.js
GLI,Green Leaf Index,Estimativa de folhas verdes usando bandas RGB,Vegetação,Sentinel-1,GLI_sentinel-1.js
GM1,Gitelson and Merzlyak Index 1,Estimativa de clorofila foliar pelo índice de Gitelson-Merzlyak,Vegetação / Bioquímica,Sentinel-1,GM1_sentinel-1.js
GM1,Gitelson and Merzlyak Index 1,Estimativa de clorofila foliar pelo índice de Gitelson-Merzlyak,Vegetação / Bioquímica,Sentinel-2,GM1_sentinel-2.js
GNDVI,Green Normalized Difference Vegetation Index,"NDVI usando banda verde em vez de vermelho, sensível a clorofila",Vegetação / Bioquímica,Landsat,GNDVI_landsat.js
GNDVI,Green Normalized Difference Vegetation Index,"NDVI usando banda verde em vez de vermelho, sensível a clorofila",Vegetação / Bioquímica,Sentinel-1,GNDVI_sentinel-1.js
GNDVI,Green Normalized Difference Vegetation Index,"NDVI usando banda verde em vez de vermelho, sensível a clorofila",Vegetação / Bioquímica,Sentinel-2,GNDVI_sentinel-2.js
GOSAVI,Green Optimized Soil-Adjusted Vegetation Index,"OSAVI com banda verde, corrigido para influência de solo",Vegetação / Solo,Landsat,GOSAVI_landsat.js
GOSAVI,Green Optimized Soil-Adjusted Vegetation Index,"OSAVI com banda verde, corrigido para influência de solo",Vegetação / Solo,Sentinel-1,GOSAVI_sentinel-1.js
GOSAVI,Green Optimized Soil-Adjusted Vegetation Index,"OSAVI com banda verde, corrigido para influência de solo",Vegetação / Solo,Sentinel-2,GOSAVI_sentinel-2.js
GRVI,Green-Red Vegetation Index,Razão verde/vermelho para estimativa de vegetação,Vegetação,Sentinel-1,GRVI_sentinel-1.js
GRVI,Green-Red Vegetation Index,Razão verde/vermelho para estimativa de vegetação,Vegetação,Sentinel-2,GRVI_sentinel-2.js
GSAVI,Green Soil-Adjusted Vegetation Index,SAVI com banda verde para correção de solo,Vegetação / Solo,Sentinel-1,GSAVI_sentinel-1.js
GSAVI,Green Soil-Adjusted Vegetation Index,SAVI com banda verde para correção de solo,Vegetação / Solo,Sentinel-2,GSAVI_sentinel-2.js
IAVI,Improved Atmospherically Resistant Vegetation Index,ARVI melhorado para robustez atmosférica,Vegetação,Landsat,IAVI_landsat.js
IAVI,Improved Atmospherically Resistant Vegetation Index,ARVI melhorado para robustez atmosférica,Vegetação,Sentinel-1,IAVI_sentinel-1.js
IAVI,Improved Atmospherically Resistant Vegetation Index,ARVI melhorado para robustez atmosférica,Vegetação,Sentinel-2,IAVI_sentinel-2.js
IBI,Index-Based Built-up Index,Índice baseado em múltiplos índices para área construída,Área urbana,Landsat,IBI_landsat.js
IBI,Index-Based Built-up Index,Índice baseado em múltiplos índices para área construída,Área urbana,Sentinel-1,IBI_sentinel-1.js
IBI,Index-Based Built-up Index,Índice baseado em múltiplos índices para área construída,Área urbana,Sentinel-2,IBI_sentinel-2.js
IPVI,Infrared Percentage Vegetation Index,Percentagem de NIR como índice de vegetação,Vegetação,Landsat,IPVI_landsat.js
IPVI,Infrared Percentage Vegetation Index,Percentagem de NIR como índice de vegetação,Vegetação,Sentinel-1,IPVI_sentinel-1.js
