indice,nome_completo,descricao,aplicacao,colecao,arquivo
NRFIg,Normalized Ratio Fluorescence Index (green),Índice de fluorescência normalizada usando verde,Vegetação / Bioquímica,Sentinel-2,NRFIg_sentinel-2.js
NRFIr,Normalized Ratio Fluorescence Index (red),Índice de fluorescência normalizada usando vermelho,Vegetação / Bioquímica,Landsat,NRFIr_landsat.js
NRFIr,Normalized Ratio Fluorescence Index (red),Índice de fluorescência normalizada usando vermelho,Vegetação / Bioquímica,Sentinel-2,NRFIr_sentinel-2.js
NSDSI1,Normalized Soil Degradation Spectral Index 1,Degradação de solo (versão 1),Solo,Landsat,NSDSI1_landsat.js
NSDSI1,Normalized Soil Degradation Spectral Index 1,Degradação de solo (versão 1),Solo,Sentinel-1,NSDSI1_sentinel-1.js
NSDSI1,Normalized Soil Degradation Spectral Index 1,Degradação de solo (versão 1),Solo,Sentinel-2,NSDSI1_sentinel-2.js
NSDSI2,Normalized Soil Degradation Spectral Index 2,Degradação de solo (versão 2),Solo,Sentinel-1,NSDSI2_sentinel-1.js
NSDSI2,Normalized Soil Degradation Spectral Index 2,Degradação de solo (versão 2),Solo,Sentinel-2,NSDSI2_sentinel-2.js
NSDSI3,Normalized Soil Degradation Spectral Index 3,Degradação de solo (versão 3),Solo,Landsat,NSDSI3_landsat.js
NSTv1,Normalized Soil Tillage Index version 1,Preparo e manejo de solo (versão 1),Solo / Agricultura,Sentinel-1,NSTv1_sentinel-1.js
NSTv1,Normalized Soil Tillage Index version 1,Preparo e manejo de solo (versão 1),Solo / Agricultura,Sentinel-2,NSTv1_sentinel-2.js
NSTv2,Normalized Soil Tillage Index version 2,Preparo e manejo de solo (versão 2),Solo / Agricultura,Sentinel-1,NSTv2_sentinel-1.js
NSTv2,Normalized Soil Tillage Index version 2,Preparo e manejo de solo (versão 2),Solo / Agricultura,Sentinel-2,NSTv2_sentinel-2.js
NWI,New Water Index,Novo índice para detecção de água,Água,Landsat,NWI_landsat.js
OCVI,Optimized Chlorophyll Vegetation Index,Estimativa otimizada de clorofila,Vegetação / Bioquímica,Sentinel-1,OCVI_sentinel-1.js
OCVI,Optimized Chlorophyll Vegetation Index,Estimativa otimizada de clorofila,Vegetação / Bioquímica,Sentinel-2,OCVI_sentinel-2.js
OSAVI,Optimized Soil-Adjusted Vegetation Index,"SAVI com fator de ajuste de solo otimizado (L=0,16)",Vegetação / Solo,Sentinel-1,OSAVI_sentinel-1.js
OSAVI,Optimized Soil-Adjusted Vegetation Index,"SAVI com fator de ajuste de solo otimizado (L=0,16)",Vegetação / Solo,Sentinel-2,OSAVI_sentinel-2.js
OSI,Oil Spill Index,Detecção de derramamentos de óleo em superfícies aquáticas,Água / Poluição,Landsat,OSI_landsat.js
PI,Plastic Index,Detecção de resíduos plásticos em ambiente aquático,Água / Poluição,Sentinel-2,PI_sentinel-2.js
PISI,Perpendicular Impervious Surface Index,Superfícies impermeáveis por método perpendicular,Área urbana,Sentinel-2,PISI_sentinel-2.js
RCC,Red Chromatic Coordinate,Proporção do canal vermelho no espaço RGB,Solo / Vegetação,Sentinel-1,RCC_sentinel-1.js
RDVI,Renormalized Difference Vegetation Index,NDVI renormalizado para sensibilidade em vegetação densa,Vegetação,Landsat,RDVI_landsat.js
RDVI,Renormalized Difference Vegetation Index,NDVI renormalizado para sensibilidade em vegetação densa,Vegetação,Sentinel-1,RDVI_sentinel-1.js
RENDVI,Red-Edge Normalized Difference Vegetation Index,NDVI calculado na faixa red-edge,Vegetação / Bioquímica,Landsat,RENDVI_landsat.js
RENDVI,Red-Edge Normalized Difference Vegetation Index,NDVI calculado na faixa red-edge,Vegetação / Bioquímica,Sentinel-2,RENDVI_sentinel-2.js
RGRI,Red-Green Ratio Index,Razão vermelho/verde para estresse e senescência,Vegetação / Estresse,Landsat,RGRI_landsat.js
RGRI,Red-Green Ratio Index,Razão vermelho/verde para estresse e senescência,Vegetação / Estresse,Sentinel-1,RGRI_sentinel-1.js
RGRI,Red-Green Ratio Index,Razão vermelho/verde para estresse e senescência,Vegetação / Estresse,Sentinel-2,RGRI_sentinel-2.js
RI,Redness Index,Índice de vermelhidão do solo,Solo,Landsat,RI_landsat.js
RI,Redness Index,Índice de vermelhidão do solo,Solo,Sentinel-1,RI_sentinel-1.js
RI,Redness Index,Índice de vermelhidão do solo,Solo,Sentinel-2,RI_sentinel-2.js
RNDVI,Ratio Normalized Difference Vegetation Index,NDVI por razão de bandas,Vegetação,Landsat,RNDVI_landsat.js
RNDVI,Ratio Normalized Difference Vegetation Index,NDVI por razão de bandas,Vegetação,Sentinel-1,RNDVI_sentinel-1.js
RVI,Ratio Vegetation Index,Razão simples NIR/vermelho para biomassa,Vegetação,Landsat,RVI_landsat.js
RVI,Ratio Vegetation Index,Razão simples NIR/vermelho para biomassa,Vegetação,Sentinel-1,RVI_sentinel-1.js
RVI,Ratio Vegetation Index,Razão simples NIR/vermelho para biomassa,Vegetação,Sentinel-2,RVI_sentinel-2.js
RVI4RE,Ratio Vegetation Index 4 Red-Edge,RVI usando a 4ª banda red-edge,Vegetação,Landsat,RVI4RE_landsat.js
RWI,Radar Water Index,Índice de água baseado em backscatter SAR,Água / SAR,Sentinel-1,RWI_sentinel-1.js
RWI,Radar Water Index,Índice de água baseado em backscatter SAR,Água / SAR,Sentinel-2,RWI_sentinel-2.js
S2REP,Sentinel-2 Red-Edge Position,Posição da borda do vermelho (red-edge) no espectro foliar,Vegetação / Bioquímica,Sentinel-1,S2REP_sentinel-1.js
S2REP,Sentinel-2 Red-Edge Position,Posição da borda do vermelho (red-edge) no espectro foliar,Vegetação / Bioquímica,Sentinel-2,S2REP_sentinel-2.js
S2WI,Sentinel-2 Water Index,Índice de água adaptado ao Sentinel-2,Água,Landsat,S2WI_landsat.js
S3,S3 index,Índice de solo S3 para identificação de solo nu,Solo,Sentinel-1,S3_sentinel-1.js
SARVI,Soil-Adjusted and Atmospherically Resistant Vegetation Index,ARVI com ajuste de solo para correção atmosférica e de fundo,Vegetação,Sentinel-1,SARVI_sentinel-1.js
SAVI,Soil-Adjusted Vegetation Index,NDVI ajustado para minimizar influência do solo nu,Vegetação / Solo,Landsat,SAVI_landsat.js
SAVI2,Soil-Adjusted Vegetation Index 2,Versão alternativa do SAVI,Vegetação / Solo,Sentinel-2,SAVI2_sentinel-2.js
SAVI4RE,Soil-Adjusted Vegetation Index 4 Red-Edge,SAVI com 4ª banda red-edge,Vegetação / Solo,Sentinel-2,SAVI4RE_sentinel-2.js
SCoWI,Scaled Combined Water Index,Índice de água combinado e escalado,Água,Landsat,SCoWI_landsat.js
SCoWI,Scaled Combined Water Index,Índice de água combinado e escalado,Água,Sentinel-1,SCoWI_sentinel-1.js
SCoWI,Scaled Combined Water Index,Índice de água combinado e escalado,Água,Sentinel-2,SCoWI_sentinel-2.js
SeLI,Sentinel-2 LAI Index,Estimativa de Índice de Área Foliar (LAI) com Sentinel-2,Vegetação,Landsat,SeLI_landsat.js
SeLI,Sentinel-2 LAI Index,Estimativa de Índice de Área Foliar (LAI) com Sentinel-2,Vegetação,Sentinel-1,SeLI_sentinel-1.js
SeLI,Sentinel-2 LAI Index,Estimativa de Índice de Área Foliar (LAI) com Sentinel-2,Vegetação,Sentinel-2,SeLI_sentinel-2.js
SEVI,Soil-adjusted Enhanced Vegetation Index,EVI ajustado para influência de solo,Vegetação / Solo,Landsat,SEVI_landsat.js
SEVI,Soil-adjusted Enhanced Vegetation Index,EVI ajustado para influência de solo,Vegetação / Solo,Sentinel-1,SEVI_sentinel-1.js
SEVI,Soil-adjusted Enhanced Vegetation Index,EVI ajustado para influência de solo,Vegetação / Solo,Sentinel-2,SEVI_sentinel-2.js
SIPI,Structure Insensitive Pigment Index,Insensível à estrutura do dossel; estima razão carotenoides/clorofila,Vegetação / Bioquímica,Landsat,SIPI_landsat.js
SIPI,Structure Insensitive Pigment Index,Insensível à estrutura do dossel; estima razão carotenoides/clorofila,Vegetação / Bioquímica,Sentinel-1,SIPI_sentinel-1.js
SIPI,Structure Insensitive Pigment Index,Insensível à estrutura do dossel; estima razão carotenoides/clorofila,Vegetação / Bioquímica,Sentinel-2,SIPI_sentinel-2.js
SLAVI,Specific Leaf Area Vegetation Index,Estimativa de área foliar específica,Vegetação,Landsat,SLAVI_landsat.js
SLAVI,Specific Leaf Area Vegetation Index,Estimativa de área foliar específica,Vegetação,Sentinel-1,SLAVI_sentinel-1.js
SNDTI4RE,Spectral Normalized Difference Tillage Index 4 Red-Edge,Preparo de solo com red-edge normalizado espectralmente,Solo / Agricultura,Sentinel-1,SNDTI4RE_sentinel-1.js
SNDTI4RE,Spectral Normalized Difference Tillage Index 4 Red-Edge,Preparo de solo com red-edge normalizado espectralmente,Solo / Agricultura,Sentinel-2,SNDTI4RE_sentinel-2.js
sNIRvLSWI,scaled NIRv × LSWI,Produto escalonado NIRv e LSWI para fenologia hídrica,Vegetação / Fenologia,Landsat,sNIRvLSWI_landsat.js
sNIRvLSWI,scaled NIRv × LSWI,Produto escalonado NIRv e LSWI para fenologia hídrica,Vegetação / Fenologia,Sentinel-1,sNIRvLSWI_sentinel-1.js
sNIRvLSWI,scaled NIRv × LSWI,Produto escalonado NIRv e LSWI para fenologia hídrica,Vegetação / Fenologia,Sentinel-2,sNIRvLSWI_sentinel-2.js
sNIRvNDPI,scaled NIRv × NDPI,Produto escalonado NIRv e NDPI,Vegetação / Água,Landsat,sNIRvNDPI_landsat.js
sNIRvNDPI,scaled NIRv × NDPI,Produto escalonado NIRv e NDPI,Vegetação / Água,Sentinel-1,sNIRvNDPI_sentinel-1.js
sNIRvNDPI,scaled NIRv × NDPI,Produto escalonado NIRv e NDPI,Vegetação / Água,Sentinel-2,sNIRvNDPI_sentinel-2.js
sNIRvNDVILSWIS,scaled NIRv × NDVI × LSWI × S,Produto escalonado multíndice para fenologia,Vegetação / Fenologia,Landsat,sNIRvNDVILSWIS_landsat.js
sNIRvNDVILSWIS,scaled NIRv × NDVI × LSWI × S,Produto escalonado multíndice para fenologia,Vegetação / Fenologia,Sentinel-1,sNIRvNDVILSWIS_sentinel-1.js
sNIRvNDVILSWIS,scaled NIRv × NDVI × LSWI × S,Produto escalonado multíndice para fenologia,Vegetação / Fenologia,Sentinel-2,sNIRvNDVILSWIS_sentinel-2.js
sNIRvSWIR,scaled NIRv × SWIR,Produto escalonado NIRv e SWIR,Vegetação / Fenologia,Landsat,sNIRvSWIR_landsat.js
sNIRvSWIR,scaled NIRv × SWIR,Produto escalonado NIRv e SWIR,Vegetação / Fenologia,Sentinel-1,sNIRvSWIR_sentinel-1.js
sNIRvSWIR,scaled NIRv × SWIR,Produto escalonado NIRv e SWIR,Vegetação / Fenologia,Sentinel-2,sNIRvSWIR_sentinel-2.js
SR,Simple Ratio,Razão simples NIR/vermelho; base de índices de vegetação,Vegetação,Sentinel-2,SR_sentinel-2.js
SR3,Simple Ratio 3-band,Razão simples usando 3 bandas espectrais,Vegetação,Sentinel-1,SR3_sentinel-1.js
SRVI,Simple Ratio Vegetation Index,Razão simples para estimativa de vegetação,Vegetação,Sentinel-1,SRVI_sentinel-1.js
SRWI,Simple Ratio Water Index,Razão simples para detecção de água em folhas,Vegetação / Água,Sentinel-1,SRWI_sentinel-1.js
STI4RE,Spectral Tillage Index 4 Red-Edge,Índice de preparo de solo com red-edge,Solo / Agricultura,Sentinel-1,STI4RE_sentinel-1.js
STI4RE,Spectral Tillage Index 4 Red-Edge,Índice de preparo de solo com red-edge,Solo / Agricultura,Sentinel-2,STI4RE_sentinel-2.js
SWI,Soil Water Index,Monitoramento de umidade do solo,Solo / Água,Sentinel-1,SWI_sentinel-1.js
SWI,Soil Water Index,Monitoramento de umidade do solo,Solo / Água,Sentinel-2,SWI_sentinel-2.js
TCARI,Transformed Chlorophyll Absorption in Reflectance Index,CARI transformado para estimativa de clorofila com menor influência de solo,Vegetação / Bioquímica,Landsat,TCARI_landsat.js
TCARI,Transformed Chlorophyll Absorption in Reflectance Index,CARI transformado para estimativa de clorofila com menor influência de solo,Vegetação / Bioquímica,Sentinel-1,TCARI_sentinel-1.js
TCARI,Transformed Chlorophyll Absorption in Reflectance Index,CARI transformado para estimativa de clorofila com menor influência de solo,Vegetação / Bioquímica,Sentinel-2,TCARI_sentinel-2.js
TCARIOSAVI705,TCARI/OSAVI ratio at 705nm,Razão TCARI/OSAVI em 705nm para estimativa de clorofila robusta,Vegetação / Bioquímica,Landsat,TCARIOSAVI705_landsat.js
TCARIOSAVI705,TCARI/OSAVI ratio at 705nm,Razão TCARI/OSAVI em 705nm para estimativa de clorofila robusta,Vegetação / Bioquímica,Sentinel-1,TCARIOSAVI705_sentinel-1.js
TCARIOSAVI705,TCARI/OSAVI ratio at 705nm,Razão TCARI/OSAVI em 705nm para estimativa de clorofila robusta,Vegetação / Bioquímica,Sentinel-2,TCARIOSAVI705_sentinel-2.js
TCI,Triangular Chlorophyll Index,Estimativa de clorofila por geometria triangular espectral,Vegetação / Bioquímica,Landsat,TCI_landsat.js
TCI,Triangular Chlorophyll Index,Estimativa de clorofila por geometria triangular espectral,Vegetação / Bioquímica,Sentinel-1,TCI_sentinel-1.js
TCI,Triangular Chlorophyll Index,Estimativa de clorofila por geometria triangular espectral,Vegetação / Bioquímica,Sentinel-2,TCI_sentinel-2.js
TGI,Triangular Greenness Index,Índice triangular de verdor usando RGB,Vegetação,Landsat,TGI_landsat.js
TGI,Triangular Greenness Index,Índice triangular de verdor usando RGB,Vegetação,Sentinel-2,TGI_sentinel-2.js
TriVI,Triangular Vegetation Index,Índice triangular de vegetação sensível a biomassa,Vegetação,Landsat,TriVI_landsat.js
TriVI,Triangular Vegetation Index,Índice triangular de vegetação sensível a biomassa,Vegetação,Sentinel-2,TriVI_sentinel-2.js
TRRVI,Transformed Red-edge Ratio Vegetation Index,RVI transformado usando red-edge,Vegetação / Bioquímica,Landsat,TRRVI_landsat.js
TRRVI,Transformed Red-edge Ratio Vegetation Index,RVI transformado usando red-edge,Vegetação / Bioquímica,Sentinel-2,TRRVI_sentinel-2.js
TTVI,Transformed Triangular Vegetation Index,Versão transformada do índice triangular de vegetação,Vegetação,Landsat,TTVI_landsat.js
TTVI,Transformed Triangular Vegetation Index,Versão transformada do índice triangular de vegetação,Vegetação,Sentinel-1,TTVI_sentinel-1.js
TTVI,Transformed Triangular Vegetation Index,Versão transformada do índice triangular de vegetação,Vegetação,Sentinel-2,TTVI_sentinel-2.js
TVI,Triangular Vegetation Index (classic),Índice triangular de vegetação clássico,Vegetação,Landsat,TVI_landsat.js
TVI,Triangular Vegetation Index (classic),Índice triangular de vegetação clássico,Vegetação,Sentinel-1,TVI_sentinel-1.js
TVI,Triangular Vegetation Index (classic),Índice triangular de vegetação clássico,Vegetação,Sentinel-2,TVI_sentinel-2.js
UI,Urban Index,Discriminação de área urbana usando SWIR e NIR,Área urbana,Landsat,UI_landsat.js
UI,Urban Index,Discriminação de área urbana usando SWIR e NIR,Área urbana,Sentinel-2,UI_sentinel-2.js
VARI700,Visible Atmospherically Resistant Index at 700nm,VARI calculado na faixa de 700nm,Vegetação,Sentinel-2,VARI700_sentinel-2.js
VDDPI,Vegetation Dryness and Drought Pressure Index,Índice de secura e pressão de seca em vegetação,Vegetação / Estresse,Sentinel-2,VDDPI_sentinel-2.js
VgNIRBI,Visible Green–NIR Built-up Index,Índice de área construída verde-NIR,Área urbana,Sentinel-1,VgNIRBI_sentinel-1.js
VHVVP,VH-VV Polarization difference,Diferença de polarização VH-VV (SAR),SAR,Sentinel-1,VHVVP_sentinel-1.js
VHVVP,VH-VV Polarization difference,Diferença de polarização VH-VV (SAR),SAR,Sentinel-2,VHVVP_sentinel-2.js
VHVVR,VH/VV Polarization Ratio,Razão de polarização VH/VV (SAR); sensível a estrutura da vegetação,SAR / Vegetação,Sentinel-1,VHVVR_sentinel-1.js
VHVVR,VH/VV Polarization Ratio,Razão de polarização VH/VV (SAR); sensível a estrutura da vegetação,SAR / Vegetação,Sentinel-2,VHVVR_sentinel-2.js
VI700,Vegetation Index at 700nm,Índice de vegetação centrado em 700nm (red-edge),Vegetação / Bioquímica,Sentinel-1,VI700_sentinel-1.js
VI700,Vegetation Index at 700nm,Índice de vegetação centrado em 700nm (red-edge),Vegetação / Bioquímica,Sentinel-2,VI700_sentinel-2.js
VIBI,Vegetation Index Built-up Index,Combinação de vegetação e área construída,Área urbana / Vegetação,Sentinel-1,VIBI_sentinel-1.js
VIBI,Vegetation Index Built-up Index,Combinação de vegetação e área construída,Área urbana / Vegetação,Sentinel-2,VIBI_sentinel-2.js
VrNIRBI,Visible Red–NIR Built-up Index,Índice de área construída vermelho-NIR,Área urbana,Sentinel-1,VrNIRBI_sentinel-1.js
VrNIRBI,Visible Red–NIR Built-up Index,Índice de área construída vermelho-NIR,Área urbana,Sentinel-2,VrNIRBI_sentinel-2.js
VVVHD,VV-VH Difference,Diferença VV-VH de polarização SAR,SAR,Sentinel-1,VVVHD_sentinel-1.js
VVVHR,VV/VH Ratio,Razão VV/VH de polarização SAR,SAR,Sentinel-2,VVVHR_sentinel-2.js
WCI2,Water Color Index 2,Qualidade e cor da água (versão 2),Água / Qualidade hídrica,Landsat,WCI2_landsat.js
WCI2,Water Color Index 2,Qualidade e cor da água (versão 2),Água / Qualidade hídrica,Sentinel-1,WCI2_sentinel-1.js
WCI2,Water Color Index 2,Qualidade e cor da água (versão 2),Água / Qualidade hídrica,Sentinel-2,WCI2_sentinel-2.js
WDRVI,Wide Dynamic Range Vegetation Index,NDVI com faixa dinâmica ampliada para vegetação densa,Vegetação,Sentinel-2,WDRVI_sentinel-2.js
WI1,Water Index 1,Índice de água (versão 1),Água,Landsat,WI1_landsat.js
WI1,Water Index 1,Índice de água (versão 1),Água,Sentinel-1,WI1_sentinel-1.js
WI1,Water Index 1,Índice de água (versão 1),Água,Sentinel-2,WI1_sentinel-2.js
WI2,Water Index 2,Índice de água (versão 2),Água,Sentinel-1,WI2_sentinel-1.js
WI2,Water Index 2,Índice de água (versão 2),Água,Sentinel-2,WI2_sentinel-2.js
WRI,Water Ratio Index,Razão de bandas para detecção de água,Água,Landsat,WRI_landsat.js
WRI,Water Ratio Index,Razão de bandas para detecção de água,Água,Sentinel-1,WRI_sentinel-1.js
WRI,Water Ratio Index,Razão de bandas para detecção de água,Água,Sentinel-2,WRI_sentinel-2.js
